AssociationId,Region,Market,Store,Date,Sales,Store_Size,Num_Employees,Num_Customers,Returns_Pct,Pct_On_Sale,Pct_Promotional,Marketing,TouristEvent,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
Louisville - 2014-01-01,Central,Commercial,Louisville,2014-01-01,193041.0,20100,50.0,553.0,0.87,19.54,0.046642039,In Store Credit Card Signup Discount; ID0.5701,No,-1.2,,0.034374102
Louisville - 2014-01-02,Central,Commercial,Louisville,2014-01-02,178536.0,20100,59.0,615.0,1.75,17.41,0.046642039,In Store Credit Card Signup Discount; ID0.6346,No,,,
Louisville - 2014-01-03,Central,Commercial,Louisville,2014-01-03,184450.0,20100,75.0,624.0,2.05,12.77,0.046642039,In Store Credit Card Signup Discount; ID0.1635,No,,,
Louisville - 2014-01-04,Central,Commercial,Louisville,2014-01-04,188646.0,20100,71.0,769.0,2.36,20.4,0.046642039,In Store Credit Card Signup Discount; ID0.0646,No,,-6250.0,
Louisville - 2014-01-05,Central,Commercial,Louisville,2014-01-05,166516.0,20100,73.0,482.0,1.73,18.24,0.0637240759999999,In Store Credit Card Signup Discount; ID3.2839,No,,,
Louisville - 2014-01-06,Central,Commercial,Louisville,2014-01-06,180950.0,20100,45.0,339.0,1.47,21.3,0.0637240759999999,In Store Credit Card Signup Discount; ID5.5425,No,,,
Louisville - 2014-01-07,Central,Commercial,Louisville,2014-01-07,181518.0,20100,43.0,328.0,0.69,18.58,0.0637240759999999,In Store Credit Card Signup Discount; ID0.9156,No,,,
Louisville - 2014-01-08,Central,Commercial,Louisville,2014-01-08,155915.0,20100,46.0,339.0,1.31,18.87,0.0637240759999999,In Store Credit Card Signup Discount; MLK Event Promotion ID4.1629,No,,,
Louisville - 2014-01-09,Central,Commercial,Louisville,2014-01-09,126353.0,20100,68.0,359.0,2.21,16.95,0.0637240759999999,In Store Credit Card Signup Discount; MLK Event Promotion ID4.2726,No,,,
Louisville - 2014-01-10,Central,Commercial,Louisville,2014-01-10,204278.0,20100,61.0,441.0,1.84,15.8,0.0637240759999999,In Store Credit Card Signup Discount; MLK Event Promotion ID5.7261,No,,,
Louisville - 2014-01-11,Central,Commercial,Louisville,2014-01-11,202826.0,20100,111.0,647.0,1.85,16.02,0.0637240759999999,In Store Credit Card Signup Discount; MLK Event Promotion ID7.0015,No,,-14000.0,
Louisville - 2014-01-12,Central,Commercial,Louisville,2014-01-12,167562.0,20100,98.0,513.0,1.84,18.72,0.069573207,In Store Credit Card Signup Discount; MLK Event Promotion ID9.5621,No,,,
Louisville - 2014-01-13,Central,Commercial,Louisville,2014-01-13,148897.0,20100,45.0,298.0,1.06,13.7,0.069573207,In Store Credit Card Signup Discount; MLK Event Promotion ID4.6825,No,,,
Louisville - 2014-01-14,Central,Commercial,Louisville,2014-01-14,162136.0,20100,45.0,329.0,0.82,17.35,0.069573207,In Store Credit Card Signup Discount; MLK Event Promotion ID3.4132,No,,,
Louisville - 2014-01-15,Central,Commercial,Louisville,2014-01-15,164172.0,20100,57.0,329.0,1.02,15.31,0.069573207,In Store Credit Card Signup Discount; MLK Event Promotion ID3.6815,No,,,
Louisville - 2014-01-16,Central,Commercial,Louisville,2014-01-16,166871.0,20100,68.0,329.0,1.84,17.54,0.069573207,In Store Credit Card Signup Discount; MLK Event Promotion ID5.3307,No,,,
Louisville - 2014-01-17,Central,Commercial,Louisville,2014-01-17,185842.0,20100,59.0,370.0,1.44,16.04,0.069573207,In Store Credit Card Signup Discount; MLK Event Promotion ID8.823,No,,,
Louisville - 2014-01-18,Central,Commercial,Louisville,2014-01-18,294607.0,20100,127.0,2475.0,1.69,17.17,0.069573207,In Store Credit Card Signup Discount; MLK Event Promotion ID12.7203,Yes,,-3000.0,
Louisville - 2014-01-19,Central,Commercial,Louisville,2014-01-19,225609.0,20100,175.0,1664.0,1.55,17.31,0.070418459,In Store Credit Card Signup Discount; MLK Event Promotion ID5.6496,Yes,,,
Louisville - 2014-01-20,Central,Commercial,Louisville,2014-01-20,259676.0,20100,104.0,1490.0,0.83,18.64,0.070418459,In Store Credit Card Signup Discount; MLK Event Promotion ID1.9275,Yes,,,
Louisville - 2014-01-21,Central,Commercial,Louisville,2014-01-21,127170.0,20100,39.0,267.0,1.06,12.97,0.070418459,In Store Credit Card Signup Discount; ID1.471,No,,,
Louisville - 2014-01-22,Central,Commercial,Louisville,2014-01-22,132814.0,20100,36.0,308.0,1.22,15.38,0.070418459,In Store Credit Card Signup Discount; ID3.4967,No,,,
Louisville - 2014-01-23,Central,Commercial,Louisville,2014-01-23,101496.0,20100,86.0,277.0,1.48,12.64,0.070418459,In Store Credit Card Signup Discount; ID11.7278,No,,,
Louisville - 2014-01-24,Central,Commercial,Louisville,2014-01-24,134332.0,20100,82.0,442.0,1.56,14.32,0.070418459,Feb. In Store Credit Card Signup Discount; ID9.872,No,,,
Louisville - 2014-01-25,Central,Commercial,Louisville,2014-01-25,140946.0,20100,79.0,596.0,1.07,13.82,0.070418459,Feb. In Store Credit Card Signup Discount; ID6.656,No,,2250.0,
Louisville - 2014-01-26,Central,Commercial,Louisville,2014-01-26,123097.0,20100,82.0,544.0,1.11,12.11,0.074267155,Feb. In Store Credit Card Signup Discount; ID6.3826,No,,,
Louisville - 2014-01-27,Central,Commercial,Louisville,2014-01-27,103839.0,20100,41.0,267.0,0.78,16.93,0.074267155,Feb. In Store Credit Card Signup Discount; ID11.7647,No,,,
Louisville - 2014-01-28,Central,Commercial,Louisville,2014-01-28,128739.0,20100,50.0,299.0,0.66,10.27,0.074267155,Feb. In Store Credit Card Signup Discount; ID21.515,No,,,
Louisville - 2014-01-29,Central,Commercial,Louisville,2014-01-29,90934.0,20100,39.0,299.0,0.98,14.81,0.074267155,Feb. In Store Credit Card Signup Discount; ID23.1503,No,,,
Louisville - 2014-01-30,Central,Commercial,Louisville,2014-01-30,100882.0,20100,75.0,289.0,0.98,12.58,0.074267155,Feb. In Store Credit Card Signup Discount; ID29.5543,No,,,
Louisville - 2014-01-31,Central,Commercial,Louisville,2014-01-31,106265.0,20100,79.0,330.0,1.45,7.16,0.074267155,Feb. In Store Credit Card Signup Discount; ID8.0866,No,,,
Louisville - 2014-02-01,Central,Commercial,Louisville,2014-02-01,128761.0,20100,72.0,586.0,1.65,9.78,0.074267155,Feb. In Store Credit Card Signup Discount; ID1.6846,No,,1250.0,0.0147298669999999
Louisville - 2014-02-02,Central,Commercial,Louisville,2014-02-02,116354.0,20100,70.0,330.0,0.91,10.3,0.077324547,In Store Credit Card Signup Discount; ID3.623,No,,,
Louisville - 2014-02-03,Central,Commercial,Louisville,2014-02-03,117345.0,20100,36.0,267.0,0.92,5.74,0.077324547,In Store Credit Card Signup Discount; Presidents Day Email Blast ID1.21,No,,,
