"Region","Market","Store","Date","Sales","Store_Size","Num_Employees","Num_Customers","Returns_Pct","Pct_On_Sale","Pct_Promotional","Marketing","TouristEvent","Econ_ChangeGDP","EconJobsChange","AnnualizedCPI"
"Central","Commercial","Louisville","2012-07-01","109673","20100","68","531","1.03","9.96","4.71E-5","July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID6.1339","No","0.5","","0.02"
"Central","Commercial","Louisville","2012-07-02","131791","20100","34","476","0.41","8.65","4.71E-5","July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID8.5144","No","","",""
"Central","Commercial","Louisville","2012-07-03","134711","20100","42","578","0.31","8.96","4.71E-5","July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID20.0807","No","","",""
"Central","Commercial","Louisville","2012-07-04","97640","20100","54","569","0.83","10.08","4.71E-5","July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID12.3747","No","","",""
"Central","Commercial","Louisville","2012-07-05","129538","20100","62","486","0.51","9.8","4.71E-5","July In Store Credit Card Signup Discount; ID5.3119","No","","",""
"Central","Commercial","Louisville","2012-07-06","145286","20100","72","551","0.43","12.04","4.71E-5","July In Store Credit Card Signup Discount; ID36.6079","No","","",""
"Central","Commercial","Louisville","2012-07-07","132983","20100","63","821","0.76","8.43","4.71E-5","July In Store Credit Card Signup Discount; ID4.3752","No","","750.0",""
"Central","Commercial","Louisville","2012-07-08","120072","20100","67","541","0.59","11.07","6.93728E-4","July In Store Credit Card Signup Discount; ID20.3276","No","","",""
"Central","Commercial","Louisville","2012-07-09","113811","20100","41","392","0.61","9.31","6.93728E-4","July In Store Credit Card Signup Discount; ID13.2671","No","","",""
"Central","Commercial","Louisville","2012-07-10","108724","20100","39","392","0.33","6.98","6.93728E-4","July In Store Credit Card Signup Discount; ID44.6988","No","","",""
"Central","Commercial","Louisville","2012-07-11","129067","20100","55","420","0.49","11.0","6.93728E-4","July In Store Credit Card Signup Discount; ID55.7791","No","","",""
"Central","Commercial","Louisville","2012-07-12","119159","20100","52","457","0.92","9.05","6.93728E-4","July In Store Credit Card Signup Discount; ID47.8566","No","","",""
"Central","Commercial","Louisville","2012-07-13","119321","20100","62","477","0.86","7.65","6.93728E-4","July In Store Credit Card Signup Discount; ID63.3107","No","","",""
"Central","Commercial","Louisville","2012-07-14","134283","20100","59","617","0.5","9.79","6.93728E-4","July In Store Credit Card Signup Discount; ID44.1093","No","","1250.0",""
"Central","Commercial","Louisville","2012-07-15","132166","20100","76","467","0.9","7.08","0.001542543","July In Store Credit Card Signup Discount; Summer Swim Mailer ID75.4052","No","","",""
"Central","Commercial","Louisville","2012-07-16","124665","20100","41","402","0.65","9.61","0.001542543","July In Store Credit Card Signup Discount; Summer Swim Mailer ID56.8838","No","","",""
"Central","Commercial","Louisville","2012-07-17","102778","20100","31","420","0.17","7.65","0.001542543","July In Store Credit Card Signup Discount; Summer Swim Mailer ID71.9272","No","","",""
"Central","Commercial","Louisville","2012-07-18","112324","20100","31","440","0.76","6.36","0.001542543","July In Store Credit Card Signup Discount; Summer Swim Mailer ID89.3386","No","","",""
"Central","Commercial","Louisville","2012-07-19","123701","20100","50","487","0.61","8.98","0.001542543","July In Store Credit Card Signup Discount; ID84.9644","No","","",""
"Central","Commercial","Louisville","2012-07-20","155078","20100","55","487","1.07","8.48","0.001542543","July In Store Credit Card Signup Discount; ID90.2808","No","","",""
"Central","Commercial","Louisville","2012-07-21","143601","20100","73","683","0.31","6.83","0.001542543","July In Store Credit Card Signup Discount; ID38.1519","No","","-3000.0",""
"Central","Commercial","Louisville","2012-07-22","129513","20100","52","495","0.22","6.13","0.001841075","July In Store Credit Card Signup Discount; ID145.2652","No","","",""
"Central","Commercial","Louisville","2012-07-23","113823","20100","59","412","0.54","8.04","0.001841075","July In Store Credit Card Signup Discount; ID153.2562","No","","",""
"Central","Commercial","Louisville","2012-07-24","128406","20100","62","412","0.14","6.82","0.001841075","July In Store Credit Card Signup Discount; ID112.1737","No","","",""
"Central","Commercial","Louisville","2012-07-25","124820","20100","64","458","0.77","6.23","0.001841075","July In Store Credit Card Signup Discount; ID129.864","No","","",""
"Central","Commercial","Louisville","2012-07-26","102571","20100","73","468","1.19","10.93","0.001841075","July In Store Credit Card Signup Discount; ID60.6535","No","","",""
"Central","Commercial","Louisville","2012-07-27","148682","20100","90","533","0.59","7.9","0.001841075","July In Store Credit Card Signup Discount; ID77.4283","No","","",""
"Central","Commercial","Louisville","2012-07-28","143955","20100","98","674","0.78","9.88","0.001841075","July In Store Credit Card Signup Discount; ID34.5335","No","","250.0",""
"Central","Commercial","Louisville","2012-07-29","128910","20100","49","478","0.5","9.83","0.017232143","July In Store Credit Card Signup Discount; ID187.4951","No","","",""
"Central","Commercial","Louisville","2012-07-30","126560","20100","44","403","0.72","5.95","0.017232143","July In Store Credit Card Signup Discount; ID1.1934","No","","",""
"Central","Commercial","Louisville","2012-07-31","132781","20100","44","384","0.44","7.91","0.017232143","July In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID81.6142","No","","",""
"Central","Commercial","Louisville","2012-08-01","122674","20100","44","488","0.54","7.94","0.017232143","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.2822","No","","","0.071985582"
