START_OF_WEEK,SKILL,SKILL_OFFERED_SUM
2024-01-01,TECH,46003.0
2024-01-08,TECH,52856.0
2024-01-15,TECH,52581.0
2024-01-22,TECH,52664.0
2024-01-29,TECH,47766.0
2024-02-05,TECH,49858.0
2024-02-12,TECH,50137.0
2024-02-19,TECH,51946.0
2024-02-26,TECH,56213.0
2024-03-04,TECH,55604.0
2024-03-11,TECH,49366.0
2024-03-18,TECH,50039.0
2024-03-25,TECH,50463.0
2024-04-01,TECH,46628.0
2024-04-08,TECH,48964.0
2024-04-15,TECH,47657.0
2024-04-22,TECH,42581.0
2024-04-29,TECH,47050.0
2024-05-06,TECH,37324.0
2024-05-13,TECH,48235.0
2024-05-20,TECH,41838.0
2024-05-27,TECH,43445.0
2024-06-03,TECH,42825.0
2024-06-10,TECH,43217.0
2024-06-17,TECH,39296.0
2024-06-24,TECH,40441.0
2024-07-01,TECH,42839.0
2024-07-08,TECH,41513.0
2024-07-15,TECH,40098.0
2024-07-22,TECH,41933.0
2024-07-29,TECH,38607.0
2024-08-05,TECH,37343.0
2024-08-12,TECH,39693.0
2024-08-19,TECH,39024.0
2024-08-26,TECH,36376.0
2024-09-02,TECH,40836.0
2024-09-09,TECH,43081.0
2024-09-16,TECH,40928.0
2024-09-23,TECH,42622.0
2024-09-30,TECH,44467.0
2024-10-07,TECH,42765.0
2024-10-14,TECH,42347.0
2024-10-21,TECH,43382.0
2024-10-28,TECH,47011.0
2024-11-04,TECH,44304.0
2024-11-11,TECH,41015.0
2024-11-18,TECH,46830.0
2024-11-25,TECH,45741.0
2024-12-02,TECH,45475.0
2024-12-09,TECH,43747.0
2024-12-16,TECH,41609.0
2024-12-23,TECH,30786.0
2024-12-30,TECH,37039.0
2025-01-06,TECH,45621.0
2025-01-13,TECH,45100.0
2025-01-20,TECH,46077.0
2025-01-27,TECH,42929.0
2025-02-03,TECH,45123.0
2025-02-10,TECH,43580.0
2025-02-17,TECH,41638.0
2025-02-24,TECH,42315.0
2025-03-03,TECH,40144.0
2025-03-10,TECH,46585.0
2025-03-17,TECH,42893.0
2025-03-24,TECH,43703.0
2025-03-31,TECH,43090.0
2025-04-07,TECH,39927.0
2025-04-14,TECH,41819.0
2025-04-21,TECH,35481.0
2025-04-28,TECH,42082.0
2025-05-05,TECH,37845.0
2025-05-12,TECH,39001.0
2025-05-19,TECH,47785.0
2025-05-26,TECH,39823.0
2025-06-02,TECH,42422.0
2025-06-09,TECH,34132.0
2025-06-16,TECH,40103.0
2025-06-23,TECH,41646.0
2025-06-30,TECH,46219.0
2025-07-07,TECH,44933.0
2025-07-14,TECH,40442.0
2025-07-21,TECH,40416.0
2025-07-28,TECH,37265.0
2025-08-04,TECH,39172.0
2025-08-11,TECH,40410.0
2025-08-18,TECH,41386.0
2025-08-25,TECH,41847.0
2025-09-01,TECH,46594.0
2025-09-08,TECH,43341.0
2025-09-15,TECH,44458.0
2025-09-22,TECH,43601.0
2025-09-29,TECH,45209.0
2025-10-06,TECH,44335.0
2025-10-13,TECH,47185.0
2025-10-20,TECH,53961.0
2025-10-27,TECH,48406.0
2025-11-03,TECH,51262.0
2025-11-10,TECH,50134.0
2025-11-17,TECH,51100.0
2025-11-24,TECH,48686.0
2025-12-01,TECH,48876.0
2025-12-08,TECH,50064.0
2025-12-15,TECH,44904.0
2025-12-22,TECH,33127.0
2025-12-29,TECH,38883.0
2026-01-05,TECH,46245.0
2026-01-12,TECH,45698.0
2026-01-19,TECH,46415.0
2026-01-26,TECH,45456.0
2026-02-02,TECH,42129.0
2026-02-09,TECH,40909.0
2026-02-16,TECH,40603.0
2026-02-23,TECH,40837.0
2026-03-02,TECH,42549.0
2026-03-09,TECH,42507.0
2026-03-16,TECH,40074.0
2026-03-23,TECH,42502.0
2026-03-30,TECH,42801.0
2026-04-06,TECH,37003.0
2026-04-13,TECH,39111.0
2026-04-20,TECH,38896.0
2026-04-27,TECH,37124.0
2026-05-04,TECH,40560.0
2026-05-11,TECH,36479.0
2026-05-18,TECH,36717.0
2026-05-25,TECH,36101.0
2026-06-01,TECH,41977.0
2026-06-08,TECH,47573.0
