prediction_week,scenario,FORECAST_POINT,START_OF_WEEK,FORECAST_DISTANCE,SKILL_OFFERED_SUM (actual)_PREDICTION,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,EXPLANATION_4_FEATURE_NAME,EXPLANATION_4_STRENGTH,EXPLANATION_4_ACTUAL_VALUE,EXPLANATION_4_QUALITATIVE_STRENGTH,EXPLANATION_5_FEATURE_NAME,EXPLANATION_5_STRENGTH,EXPLANATION_5_ACTUAL_VALUE,EXPLANATION_5_QUALITATIVE_STRENGTH,EXPLANATION_6_FEATURE_NAME,EXPLANATION_6_STRENGTH,EXPLANATION_6_ACTUAL_VALUE,EXPLANATION_6_QUALITATIVE_STRENGTH,EXPLANATION_7_FEATURE_NAME,EXPLANATION_7_STRENGTH,EXPLANATION_7_ACTUAL_VALUE,EXPLANATION_7_QUALITATIVE_STRENGTH,EXPLANATION_8_FEATURE_NAME,EXPLANATION_8_STRENGTH,EXPLANATION_8_ACTUAL_VALUE,EXPLANATION_8_QUALITATIVE_STRENGTH,EXPLANATION_9_FEATURE_NAME,EXPLANATION_9_STRENGTH,EXPLANATION_9_ACTUAL_VALUE,EXPLANATION_9_QUALITATIVE_STRENGTH,EXPLANATION_10_FEATURE_NAME,EXPLANATION_10_STRENGTH,EXPLANATION_10_ACTUAL_VALUE,EXPLANATION_10_QUALITATIVE_STRENGTH,DEPLOYMENT_APPROVAL_STATUS,ASSOCIATION_ID,forecast_step,YEAR,MONTH,DAY_OF_YEAR,WEEK_OF_YEAR,SKILL,SKILL_OFFERED_SUM,ASA,Nieuwjaarsdag,1e Paasdag,2e Paasdag,Koningsdag,Hemelvaartsdag,1e Pinksterdag,2e Pinksterdag,1e Kerstdag,2e Kerstdag,Bevrijdingsdag,Holidays,Voorjaar,Mei,Zomer,Herfst,Kerst,Vacations,Black Friday,Cyber Monday,SpecialDays,NEW CUSTOMER,MIGRATION WITH CPE,MIGRATION WITHOU CPE,CHURN,TECH SWAP,MSTB,ADDON,BASE/STEADY,BASE,MESSAGINGINDICATOR
2024-02-12,planned,2024-02-12T00:00:00Z,2024-02-19,1,41917.9609375,ASA (actual),-1650.65546875,30.0,---,SKILL_OFFERED_SUM (6 week mean),-1102.58515625,50977.0,--,DAY_OF_YEAR (actual),-939.7953125,50.0,--,MSTB (actual),660.05546875,1761.0,++,MIGRATION WITH CPE (actual),645.314453125,14971.0,++,SKILL_OFFERED_SUM (6 week std),-616.4796875,2059.98582519395,--,SKILL_OFFERED_SUM (6 week median),517.74296875,51359.0,++,SKILL_OFFERED_SUM (3rd lag),507.683203125,47766.0,++,ADDON (actual),-448.76796875,1843.0,--,SKILL_OFFERED_SUM (4th lag),393.151953125,52664.0,++,APPROVED,TECH_2024-02-19,1,2024,2,50,8,TECH,,30,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,7313,14971,6711,8185,5910,1761,1843,"3055918,286","3102612,286",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-02-26,2,45510.203125,SKILL_OFFERED_SUM (6 week mean),-1178.172265625,50977.0,--,MSTB (actual),976.40390625,1754.0,++,ASA (actual),895.28828125,151.0,++,MIGRATION WITH CPE (actual),798.36640625,14844.0,++,SKILL_OFFERED_SUM (6 week std),-685.693359375,2059.98582519395,--,ADDON (actual),-578.131640625,1672.0,--,SKILL_OFFERED_SUM (3rd lag),572.07109375,47766.0,++,SKILL_OFFERED_SUM (4th lag),562.47734375,52664.0,++,SKILL_OFFERED_SUM (6 week min),-419.07578125,47766.0,--,SKILL_OFFERED_SUM (acceleration),377.29296875,-10616.0,++,APPROVED,TECH_2024-02-26,2,2024,2,57,9,TECH,,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9544,14844,7403,10571,5844,1754,1672,"3043812,429","3095444,429",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-03-04,3,43424.4609375,ASA (actual),-1106.463671875,24.0,--,SKILL_OFFERED_SUM (5th lag),-905.051953125,52581.0,--,MIGRATION WITH CPE (actual),807.616015625,12017.0,++,MIGRATION WITHOU CPE (actual),756.447265625,6280.0,++,SKILL_OFFERED_SUM (6 week mean),-592.886328125,50977.0,--,SKILL_OFFERED_SUM (4th lag),567.925390625,52664.0,++,SKILL_OFFERED_SUM (6 week std),-566.137890625,2059.98582519395,--,SKILL_OFFERED_SUM (6 week median),563.627734375,51359.0,++,ADDON (actual),-493.958984375,1839.0,--,CHURN (actual),-493.254296875,7853.0,--,APPROVED,TECH_2024-03-04,3,2024,3,64,10,TECH,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7229,12017,6280,7853,5252,1597,1839,3032631,3074698,10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-03-11,4,44054.23046875,MIGRATION WITH CPE (actual),1421.548828125,10464.0,++,ASA (actual),-981.449609375,12.0,--,SKILL_OFFERED_SUM (6 week mean),-902.553125,50977.0,--,SKILL_OFFERED_SUM (6 week median),825.568359375,51359.0,++,SKILL_OFFERED_SUM (4th lag),601.346875,52664.0,++,SKILL_OFFERED_SUM (acceleration),593.579296875,-10616.0,++,NEW CUSTOMER (actual),544.768359375,6715.0,++,SKILL_OFFERED_SUM (5th lag),-524.940234375,52581.0,--,SKILL_OFFERED_SUM (6 week std),-495.3328125,2059.98582519395,--,TECH SWAP (actual),471.7609375,1957.0,++,APPROVED,TECH_2024-03-11,4,2024,3,71,11,TECH,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6715,10464,6762,8677,1957,1486,1708,"3063229,286","3100998,286",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-03-18,5,42595.61328125,SKILL_OFFERED_SUM (6 week mean),-1062.480859375,50977.0,--,ASA (actual),-1010.561328125,23.0,--,MIGRATION WITHOU CPE (actual),707.422265625,6176.0,++,SKILL_OFFERED_SUM (6 week median),637.559765625,51359.0,++,SKILL_OFFERED_SUM (5th lag),-621.572265625,52581.0,--,SKILL_OFFERED_SUM (6 week std),-566.141796875,2059.98582519395,--,NEW CUSTOMER (actual),471.30625,6951.0,++,SKILL_OFFERED_SUM (3rd lag),423.969921875,47766.0,++,TECH SWAP (actual),-409.5703125,10565.0,--,ADDON (actual),-384.44375,1678.0,--,APPROVED,TECH_2024-03-18,5,2024,3,78,12,TECH,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6951,9323,6176,8254,10565,1470,1678,"3050121,429","3094538,429",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-03-25,6,42087.5234375,ASA (actual),-1024.4875,23.0,--,SKILL_OFFERED_SUM (6 week mean),-897.79609375,50977.0,--,MIGRATION WITHOU CPE (actual),674.99296875,5541.0,++,SKILL_OFFERED_SUM (6 week median),637.556640625,51359.0,++,SKILL_OFFERED_SUM (6 week std),-590.11640625,2059.98582519395,--,SKILL_OFFERED_SUM (5th lag),-554.565234375,52581.0,--,SKILL_OFFERED_SUM (acceleration),533.44375,-10616.0,++,MSTB (actual),531.7546875,1583.0,++,TECH SWAP (actual),-504.723828125,11278.0,--,NEW CUSTOMER (actual),-462.796875,7919.0,--,APPROVED,TECH_2024-03-25,6,2024,3,85,13,TECH,,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7919,9019,5541,8582,11278,1583,1681,"3036999,286","3082602,286",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-04-01,7,39033.0390625,Holidays (actual),-1840.459540625,3.0,--,ASA (actual),-1786.41484375,22.0,--,MIGRATION WITH CPE (actual),-1527.362890625,7475.0,--,DAY_OF_YEAR (actual),1023.509375,92.0,++,SKILL_OFFERED_SUM (6 week median),947.23203125,51359.0,++,MIGRATION WITHOU CPE (actual),738.1953125,5631.0,++,SKILL_OFFERED_SUM (5th lag),-704.28359375,52581.0,--,SKILL_OFFERED_SUM (6 week mean),-704.09765625,50977.0,--,SKILL_OFFERED_SUM (6 week std),-620.01953125,2059.98582519395,--,SKILL_OFFERED_SUM (6 week max),-609.677734375,52856.0,--,APPROVED,TECH_2024-04-01,7,2024,4,92,14,TECH,,22,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7763,7475,5631,8510,9363,1467,1423,"3024496,714","3066128,714",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-04-08,8,41560.14453125,SKILL_OFFERED_SUM (6 week mean),-1151.868359375,50977.0,--,TECH SWAP (actual),-863.07734375,4291.0,--,ASA (actual),-853.558203125,27.0,--,SKILL_OFFERED_SUM (6 week std),-679.940625,2059.98582519395,--,SKILL_OFFERED_SUM (5th lag),-656.330859375,52581.0,--,NEW CUSTOMER (actual),646.43984375,6597.0,++,MIGRATION WITHOU CPE (actual),637.818359375,5614.0,++,SKILL_OFFERED_SUM (6 week median),637.559765625,51359.0,++,SKILL_OFFERED_SUM (3rd lag),587.50390625,47766.0,++,MSTB (actual),515.1578125,1412.0,++,APPROVED,TECH_2024-04-08,8,2024,4,99,15,TECH,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6597,9013,5614,7940,4291,1412,1868,"3012656,571","3049391,571",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-04-15,9,42996.9296875,MIGRATION WITH CPE (actual),1608.4078125,10394.0,++,ASA (actual),-1045.492578125,13.0,--,TECH SWAP (actual),999.171875,1648.0,++,MIGRATION WITHOU CPE (actual),-929.809765625,8333.0,--,SKILL_OFFERED_SUM (6 week median),804.44765625,51359.0,++,DAY_OF_YEAR (actual),-654.759375,106.0,--,CHURN (actual),-522.0625,7910.0,--,SKILL_OFFERED_SUM (6 week max),-520.27578125,52856.0,--,SKILL_OFFERED_SUM (6 week mean),-482.87109375,50977.0,--,NEW CUSTOMER (actual),478.9453125,7040.0,++,APPROVED,TECH_2024-04-15,9,2024,4,106,16,TECH,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7040,10394,8333,7910,1648,1515,1638,"3024576,857","3063054,857",10
2024-02-12,planned,2024-02-12T00:00:00Z,2024-04-22,10,38905.765625,Holidays (actual),-2883.520146875,2.0,---,ASA (actual),-1849.899609375,7.0,--,SKILL_OFFERED_SUM (6 week mean),-1148.13203125,50977.0,--,SKILL_OFFERED_SUM (6 week median),759.088671875,51359.0,++,WEEK_OF_YEAR (6 week mean),737.433203125,4.5,++,SKILL_OFFERED_SUM (3rd lag),611.668359375,47766.0,++,START_OF_WEEK (Month) (actual),521.42578125,4.0,++,ADDON (actual),-519.460546875,1421.0,--,MIGRATION WITH CPE (actual),-504.330859375,8168.0,--,SKILL_OFFERED_SUM (6 week max),-500.9109375,52856.0,-,APPROVED,TECH_2024-04-22,10,2024,4,113,17,TECH,,7,0,0,0,2,0,0,0,0,0,0,2,0,9,0,0,0,9,0,0,0,6919,8168,5817,7889,1468,1455,1421,3046789,3079926,10
